L,,R,,L,,R,
0,0,0,0,0,0,0,0
0.005,0,0.005,0,0.005,0,0.005,0
0.01,0,0.01,0,0.01,0,0.01,0
0.015,0,0.015,0,0.015,0,0.015,0
0.02,0,0.02,0,0.02,0,0.02,0
0.025,0,0.025,0,0.025,0,0.025,0
0.03,0,0.03,1,0.03,0,0.03,0
0.035,1,0.035,0,0.035,0,0.035,0
0.04,1,0.04,1,0.04,1,0.04,0
0.045,1,0.045,0,0.045,1,0.045,1
0.05,1,0.05,0,0.05,1,0.05,1
0.055,1,0.055,1,0.055,1,0.055,1
0.06,1,0.06,1,0.06,1,0.06,1
0.065,1,0.065,1,0.065,1,0.065,1
0.07,1,0.07,1,0.07,1,0.07,1
0.075,1,0.075,1,0.075,1,0.075,1
0.08,1,0.08,1,0.08,1,0.08,1
0.085,1,0.085,1,0.085,1,0.085,1
0.09,1,0.09,1,0.09,1,0.09,1
0.095,1,0.095,1,0.095,1,0.095,1
0.09999999,1,0.09999999,1,0.09999999,1,0.09999999,1
,,,,,,,
TDT,,,,,,,
0.035,,0.02,,0.04,,0.045,
